Nanopore,Region_MA-MM-CR,Length_3way,Diff_MA-MA,Diff_CR-CR,Diff_MM-MM,Region_MA-MM,Length_MA-MM,Diff_MA-MA,Diff_MM-MM,Region_MA-CR,Length_MA-CR,Diff_MA-MA,Diff_CR_CR,Region_MM-CR,Length_MM-CR,Diff_MM-MM,Diff_CR-CR
600d001e-bc99-4f34-8db3-971314e0c897,210,6858,34,45,15,397,9639,47,28,266,4823,14,23,451,10277,46,126
a0f328d0-eb7d-4fa4-81a5-264b4675c6e4,320,10719,143,130,71,623,11502,165,78,420,8830,123,105,744,8796,56,127
9a39e613-6b6a-41d8-b5dc-6cfd6c6b88c5,,,,,,,,,,,,,,708,11536,79,129
31c7a812-ed8b-48bb-a640-72f556dc1d60,,,,,,,,,,,,,,231,7242,94,130
982be9c2-f336-4e86-a20c-dedc0fd02338,303,9258,123,137,46,594,10878,160,68,398,7294,125,131,698,7298,42,131
b97b6004-6359-4fda-81af-1b1b7ff85a77,,,,,,,,,,,,,,854,11028,174,131
9b261d8e-a659-4147-b268-38c1b2a41b24,,,,,,,,,,,,,,714,9182,63,133
a1d34c7a-bd8d-4e9e-9006-fc72e020cd67,,,,,,,,,,,,,,746,11187,56,134
ce720e16-045c-4425-8656-110c0f96d3d1,,,,,,,,,,,,,,944,8050,39,135
eac65837-9d2a-496a-8c36-4e537b20b680,,,,,,,,,,,,,,1087,7465,57,135
c0dc7194-640b-4f32-9f5d-629b304ecbc7,385,11660,160,151,69,739,9941,143,60,503,9930,141,131,881,9990,60,136
fc392e7a-f94a-428c-8251-84f2db0cb56c,522,13020,154,164,49,976,11061,129,36,676,11045,125,135,1175,11359,38,137
bfd73417-b1f7-4e0e-8c6a-0c0415995d5c,,,,,,,,,,,,,,876,6922,86,137
82878894-80ed-4bfc-b8c4-271683313b09,,,,,,,,,,,,,,606,7019,42,139
cf418729-7061-4074-9d69-8883c1017abf,,,,,,,,,,,,,,953,9372,49,139
bbb730f7-666b-41f2-adda-b98def193278,,,,,,,,,,,,,,862,13811,72,139
4e6cfb33-f810-46fb-aee6-4eddddb6d818,,,,,,,,,,,,,,358,6162,80,140
ad183655-9f3d-46b8-a8ba-4034a282d037,349,10583,157,157,101,666,10955,171,94,455,9517,143,138,798,9503,94,141
8b0b61d5-305a-4014-bf09-4f87751ccd49,,,,,,,,,,,,,,636,4631,95,142
